contestId,index,name,tags,rating,solvedCount
2118,F,Shifts and Swaps,"['data structures', 'graphs', 'hashing', 'trees']",3100,137
2118,E,Grid Coloring,"['constructive algorithms', 'geometry', 'greedy', 'math']",2400,887
2118,D2,"Red Light, Green Light (Hard version)","['binary search', 'brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'implementation', 'math', 'number theory']",2200,1476
2118,D1,"Red Light, Green Light (Easy version)","['brute force', 'dfs and similar', 'dp', 'graphs', 'implementation', 'number theory']",1700,4803
2118,C,Make It Beautiful,"['bitmasks', 'data structures', 'greedy', 'math']",1300,13668
2118,B,Make It Permutation,['constructive algorithms'],1200,15203
2118,A,Equal Subsequences,"['constructive algorithms', 'greedy']",800,23709
2117,H,Incessant Rain,"['data structures', 'divide and conquer', 'sortings']",2500,480
2117,G,Omg Graph,"['brute force', 'dsu', 'graphs', 'greedy', 'shortest paths', 'sortings']",1900,2977
2117,F,Wildflower,"['combinatorics', 'dfs and similar', 'trees']",1800,3893
2117,E,Lost Soul,"['brute force', 'greedy']",1600,8208
2117,D,Retaliation,"['binary search', 'math', 'number theory']",1200,16285
2117,C,Cool Partition,"['data structures', 'greedy']",1200,15637
2117,B,Shrink,['constructive algorithms'],800,25895
2117,A,False Alarm,"['greedy', 'implementation']",800,29774
2116,B,Gellyfish and Baby's Breath,"['greedy', 'math', 'sortings']",1300,13638
2116,A,Gellyfish and Tricolor Pansy,"['games', 'greedy']",800,22628
2115,F2,Gellyfish and Lycoris Radiata (Hard Version),['data structures'],3500,43
2115,F1,Gellyfish and Lycoris Radiata (Easy Version),['data structures'],3500,39
2115,E,Gellyfish and Mayflower,"['dp', 'graphs']",3500,115
2115,D,Gellyfish and Forget-Me-Not,"['bitmasks', 'dp', 'games', 'greedy', 'math']",2900,459
2115,C,Gellyfish and Eternal Violet,"['combinatorics', 'dp', 'greedy', 'math', 'probabilities']",2700,528
2115,B,Gellyfish and Camellia Japonica,"['brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",2100,2599
2115,A,Gellyfish and Flaming Peony,"['constructive algorithms', 'dp', 'math', 'number theory']",1500,10306
2114,G,Build an Array,"['brute force', 'constructive algorithms', 'dp', 'greedy', 'math', 'number theory']",2200,1350
2114,F,Small Operations,"['binary search', 'brute force', 'dfs and similar', 'dp', 'math', 'number theory', 'sortings']",2000,3765
2114,E,Kirei Attacks the Estate,"['dfs and similar', 'dp', 'greedy', 'trees']",1400,9985
2114,D,Come a Little Closer,"['brute force', 'greedy', 'implementation', 'math']",1400,11265
2114,C,Need More Arrays,"['dp', 'greedy']",1000,24235
2114,B,Not Quite a Palindromic String,"['greedy', 'math']",900,24509
2114,A,Square Year,"['binary search', 'brute force', 'math']",800,34092
2113,F,Two Arrays,"['constructive algorithms', 'dfs and similar', 'graphs', 'math']",2500,456
2113,E,From Kazan with Love,"['dfs and similar', 'graphs', 'implementation', 'trees']",2800,204
2113,D,Cheater,"['binary search', 'constructive algorithms', 'greedy', 'implementation']",2200,1627
2113,C,Smilo and Minecraft,"['brute force', 'constructive algorithms', 'greedy']",1700,5188
2113,B,Good Start,"['constructive algorithms', 'math']",1200,9870
2113,A,Shashliks,"['greedy', 'math']",800,15383
2111,G,Divisible Subarrays,"['binary search', 'bitmasks', 'brute force', 'data structures', 'interactive']",2900,224
2111,F,Puzzle,"['brute force', 'constructive algorithms', 'greedy', 'math']",2400,1023
2111,E,Changing the String,"['binary search', 'data structures', 'greedy', 'implementation', 'sortings', 'strings']",1900,4016
2111,D,Creating a Schedule,"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'sortings']",1400,9217
2111,C,Equal Values,"['brute force', 'greedy', 'two pointers']",1100,14940
2111,B,Fibonacci Cubes,"['brute force', 'dp', 'implementation', 'math']",1100,14190
2111,A,Energy Crystals,"['greedy', 'implementation', 'math']",800,17756
2110,F,Faculty,"['brute force', 'greedy', 'math', 'number theory']",2400,1289
2110,E,Melody,"['dfs and similar', 'graphs', 'implementation']",2300,1574
2110,D,Fewer Batteries,"['binary search', 'dfs and similar', 'dp', 'graphs', 'greedy', 'hashing']",1700,6150
2110,C,Racing,"['constructive algorithms', 'greedy']",1400,12047
2110,B,Down with Brackets,['strings'],900,21162
2110,A,Fashionable Array,"['implementation', 'sortings']",800,24765
2109,F,Penguin Steps,"['binary search', 'dfs and similar', 'flows', 'graphs', 'shortest paths']",3000,173
2109,E,Binary String Wowee,"['combinatorics', 'dp', 'strings']",2400,1005
2109,D,D/D/D,"['dfs and similar', 'graphs', 'greedy', 'shortest paths']",1900,3865
2109,C3,Hacking Numbers (Hard Version),"['constructive algorithms', 'interactive', 'math', 'number theory']",2600,2426
2109,C2,Hacking Numbers (Medium Version),"['constructive algorithms', 'interactive', 'math', 'number theory']",1700,6723
2109,C1,Hacking Numbers (Easy Version),"['bitmasks', 'constructive algorithms', 'interactive', 'math', 'number theory']",1500,8844
2109,B,Slice to Survive,"['bitmasks', 'greedy', 'math']",1200,14259
2109,A,It's Time To Duel,['implementation'],800,23035
2108,F,Fallen Towers,"['binary search', 'greedy']",2900,347
2108,E,Spruce Dispute,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'shortest paths', 'trees']",2600,555
2108,D,Needle in a Numstack,"['binary search', 'brute force', 'implementation', 'interactive']",2200,1928
2108,C,Neo's Escape,"['binary search', 'brute force', 'data structures', 'dp', 'dsu', 'graphs', 'greedy', 'implementation']",1500,11086
2108,B,SUMdamental Decomposition,"['bitmasks', 'constructive algorithms', 'greedy', 'implementation', 'math']",1300,11829
2108,A,Permutation Warm-Up,"['combinatorics', 'greedy', 'math']",800,19145
