handle,rating,maxRating,rank,maxRank,contribution
CodeArchon,1399,1399,pupil,pupil,0
GoldenTut,1399,1494,pupil,specialist,0
HamLigar555,1399,1493,pupil,specialist,0
Hamo123,1399,1559,pupil,specialist,0
Ivan_Frost,1399,1706,pupil,expert,0
MarioNathan,1399,1516,pupil,specialist,0
NajmulHasan,1399,1399,pupil,pupil,0
NeikuiColacat,1399,1732,pupil,expert,0
Rishabh_Coder2003,1399,1399,pupil,pupil,0
Sengupta_98,1399,1399,pupil,pupil,-3
SidLegion,1399,1399,pupil,pupil,0
SpidyCoder,1399,1433,pupil,specialist,0
Srikar_246,1399,1399,pupil,pupil,0
UXIXA,1399,1559,pupil,specialist,0
VarunThisSide,1399,1409,pupil,specialist,0
abhineet_m,1399,1402,pupil,specialist,-2
adimak,1399,1403,pupil,specialist,0
alphastriker,1399,1441,pupil,specialist,0
apurvoj_23,1399,1399,pupil,pupil,0
ayan2025,1399,1415,pupil,specialist,-7
ayus34513,1399,1453,pupil,specialist,0
bakchodi_mat_kar,1399,1606,pupil,expert,0
chandrakanta70081,1399,1399,pupil,pupil,0
code_with_abhishek,1399,1399,pupil,pupil,0
jacl,1399,1505,pupil,specialist,0
knowyourplace96,1399,1399,pupil,pupil,0
miral58,1399,1475,pupil,specialist,0
nimitkh,1399,1399,pupil,pupil,0
ppbinh2010,1399,1407,pupil,specialist,0
shanks_14,1399,1399,pupil,pupil,0
shekhawat_g,1399,1541,pupil,specialist,0
shivankurg,1399,1520,pupil,specialist,0
sth6,1399,1450,pupil,specialist,-1
swastiksethi03,1399,1400,pupil,specialist,0
wanli2_,1399,1399,pupil,pupil,0
waring,1399,1443,pupil,specialist,0
Adrenaline_00,1398,1423,pupil,specialist,0
Amit_Khedar,1398,1398,pupil,pupil,0
Ashwaghosh__,1398,1468,pupil,specialist,0
BAKUBAM,1398,1398,pupil,pupil,0
3017,1599,1670,specialist,expert,0
Cailibur,1599,1633,specialist,expert,0
DaGr8Nave,1599,1691,specialist,expert,0
Greyitis,1599,1620,specialist,expert,0
Khushhal,1599,1616,specialist,expert,0
Mhkhan,1599,1773,specialist,expert,0
Mridul_007,1599,1599,specialist,specialist,0
Pasha_Rodygin,1599,1644,specialist,expert,0
Rain_L,1599,1599,specialist,specialist,0
Rantan,1599,1735,specialist,expert,0
ThinkTank30,1599,1631,specialist,expert,0
Titan_2003,1599,1599,specialist,specialist,7
VVR2611,1599,1599,specialist,specialist,0
VishuKalier,1599,1659,specialist,expert,-11
_Salma_karam,1599,1755,specialist,expert,0
die-kstra,1599,1649,specialist,expert,0
germanking6,1599,1771,specialist,expert,7
huhd,1599,1694,specialist,expert,0
julia_08,1599,1767,specialist,expert,0
krishankant05,1599,1635,specialist,expert,5
magyarakoos,1599,1599,specialist,specialist,0
mostafa133,1599,1768,specialist,expert,0
pri_13,1599,1599,specialist,specialist,0
raghavgupta256,1599,1599,specialist,specialist,0
sharvil.athaley,1599,1879,specialist,expert,0
7oka_,1598,1614,specialist,expert,0
7pie,1598,1598,specialist,specialist,1
Bhumin,1598,1598,specialist,specialist,0
Chill-As-Fuck,1598,1598,specialist,specialist,0
DerpoFanBoy,1598,1675,specialist,expert,0
Eslam.Taha,1598,1772,specialist,expert,0
FridayD05,1598,1598,specialist,specialist,0
NLsosad,1598,1598,specialist,specialist,7
Rahul_Nautiyal,1598,1598,specialist,specialist,0
SiKarmen,1598,1598,specialist,specialist,0
Venom_30,1598,1831,specialist,expert,0
Wu_Xin_45,1598,1598,specialist,specialist,0
X_MAN_,1598,1598,specialist,specialist,0
YYYwYYY,1598,1598,specialist,specialist,0
burnwr04,1598,1598,specialist,specialist,0
Oanh_va_Khoi,1799,1941,expert,candidate master,21
Viraj_Patil_092,1799,1799,expert,expert,0
Zylenox,1799,1799,expert,expert,0
cr7ro,1799,1979,expert,candidate master,0
jiang_l_y,1799,1799,expert,expert,0
sachish,1799,1799,expert,expert,0
secretlyAP,1799,1799,expert,expert,0
Cute_Lyn,1798,2065,expert,candidate master,0
FrankLeDank,1798,1902,expert,candidate master,2
MAXXia,1798,1798,expert,expert,0
Moonfr4ction,1798,1798,expert,expert,0
PopCoder,1798,1798,expert,expert,26
VanLam,1798,1873,expert,expert,7
itaalyatt_id,1798,1798,expert,expert,6
loveyoulitach,1798,1901,expert,candidate master,0
uttej_777,1798,1908,expert,candidate master,1
zhengly2003,1798,1798,expert,expert,0
1-1-1,1797,1943,expert,candidate master,2
A7med_667,1797,1797,expert,expert,0
DBSHoShunNgai,1797,1797,expert,expert,0
Eous,1797,1823,expert,expert,12
Nightmare07,1797,1797,expert,expert,0
jiguangxx,1797,1878,expert,expert,0
jinxiangxiang,1797,1797,expert,expert,0
nottheonion,1797,1797,expert,expert,0
pety_body,1797,1952,expert,candidate master,-9
AdityaKharat,1796,1836,expert,expert,0
CF_Evan,1796,1796,expert,expert,0
Caed249,1796,1865,expert,expert,0
DM_De_Mir,1796,1796,expert,expert,0
Htutota,1796,1796,expert,expert,0
ImaginedTime,1796,1876,expert,expert,0
Raj2,1796,1796,expert,expert,0
adityasingh99,1796,1812,expert,expert,0
dinhvietcuong,1796,1799,expert,expert,1
hxu20220928,1796,1796,expert,expert,0
paomianyu,1796,1796,expert,expert,0
sleepyessheep,1796,1978,expert,candidate master,12
0518,1795,1795,expert,expert,0
CaptainPS,1795,2081,expert,candidate master,0
