contestId,index,name,tags,rating,solvedCount,tag_str,similarity
2031,D,Penchick and Desert Rabbit,"['binary search', 'data structures', 'dfs and similar', 'dp', 'dsu', 'greedy', 'implementation', 'two pointers']",1700,8150,binary search data structures dfs and similar dp dsu greedy implementation two pointers,0.5943216388127455
1461,D,Divide and Summarize,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'implementation', 'sortings']",1600,9679,binary search brute force data structures divide and conquer implementation sortings,0.5599496399301324
1896,D,Ones and Twos,"['binary search', 'data structures', 'divide and conquer', 'math', 'two pointers']",1700,6383,binary search data structures divide and conquer math two pointers,0.5421047417431507
1971,F,Circle Perimeter,"['binary search', 'brute force', 'dfs and similar', 'geometry', 'implementation', 'math']",1600,11337,binary search brute force dfs and similar geometry implementation math,0.5421047417431507
2063,C,Remove Exactly Two,"['brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'greedy', 'sortings', 'trees']",1600,12348,brute force data structures dfs and similar dp graphs greedy sortings trees,0.5361109642475097
2110,D,Fewer Batteries,"['binary search', 'dfs and similar', 'dp', 'graphs', 'greedy', 'hashing']",1700,6150,binary search dfs and similar dp graphs greedy hashing,0.5238095238095237
2071,C,Trapmigiano Reggiano,"['constructive algorithms', 'data structures', 'dfs and similar', 'dp', 'greedy', 'sortings', 'trees']",1700,8018,constructive algorithms data structures dfs and similar dp greedy sortings trees,0.5168765907047376
1365,D,Solve The Maze,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'implementation', 'shortest paths']",1700,18963,constructive algorithms dfs and similar dsu graphs greedy implementation shortest paths,0.5168765907047376
385,C,Bear and Prime Numbers,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'math', 'number theory']",1700,10131,binary search brute force data structures dp implementation math number theory,0.5168765907047376
2004,D,Colored Portals,"['binary search', 'brute force', 'data structures', 'graphs', 'greedy', 'implementation', 'shortest paths']",1600,12003,binary search brute force data structures graphs greedy implementation shortest paths,0.5168765907047376
