contestId,index,name,tags,rating,solvedCount,tag_str,similarity
2001,C,Guess The Tree,"['binary search', 'brute force', 'dfs and similar', 'divide and conquer', 'dsu', 'greedy', 'interactive', 'trees']",1500,11814,binary search brute force dfs and similar divide and conquer dsu greedy interactive trees,0.6199262138660517
2108,C,Neo's Escape,"['binary search', 'brute force', 'data structures', 'dp', 'dsu', 'graphs', 'greedy', 'implementation']",1500,11086,binary search brute force data structures dp dsu graphs greedy implementation,0.527759396560251
1697,C,awoo's Favorite Problem,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'implementation', 'strings', 'two pointers']",1400,15140,binary search constructive algorithms data structures greedy implementation strings two pointers,0.527759396560251
1487,C,Minimum Ties,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'math']",1500,14782,brute force constructive algorithms dfs and similar graphs greedy implementation math,0.5277593965602508
1800,E2,Unforgivable Curse (hard version),"['brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'strings']",1500,14116,brute force constructive algorithms dfs and similar dsu graphs greedy strings,0.5277593965602508
2033,E,"Sakurako, Kosuke, and the Permutation","['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'math']",1400,12532,brute force data structures dfs and similar dsu graphs greedy math,0.5277593965602508
1997,D,Maximize the Root,"['binary search', 'dfs and similar', 'dp', 'greedy', 'trees']",1500,14248,binary search dfs and similar dp greedy trees,0.5157106231293966
1419,D2,Sage's Birthday (hard version),"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']",1500,16564,binary search brute force constructive algorithms greedy sortings two pointers,0.5073921644158869
1926,E,Vlad and an Odd Ordering,"['binary search', 'bitmasks', 'data structures', 'dp', 'implementation', 'math', 'number theory']",1500,13532,binary search bitmasks data structures dp implementation math number theory,0.5073921644158869
2026,C,Action Figures,"['binary search', 'brute force', 'constructive algorithms', 'data structures', 'greedy', 'implementation']",1500,11235,binary search brute force constructive algorithms data structures greedy implementation,0.5073921644158869
